"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Remember the Future, Pt. 1","Nektar","Progressive Rock",0.391,0.59,0.818181818181818,0.772966666666667,1,0.0449,0.676,0.553,0.0661,0.479,0.113675,1,0.24
"The Joy of Molybdenum (feat. The Trey Gunn Band)","Trey Gunn","Progressive Rock",0.443,0.917,0.909090909090909,0.90165,0,0.0584,0.0415,0.922,0.103,0.638,0.122751,1,0.2
"2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale","Rush","Progressive Rock",0.354,0.785,0.181818181818182,0.8634,1,0.121,0.142,0.00235,0.24,0.207,0.134678,1,0.02
"Ice","Camel","Progressive Rock",0.176,0.159,0.181818181818182,0.687416666666667,0,0.0322,0.821,0.566,0.0699,0.072,0.083371,0,0.37
"Phasors On Stun","FM","Progressive Rock",0.482,0.847,0.363636363636364,0.825733333333333,0,0.0528,0.0791,0.168,0.126,0.702,0.125111,1,0.31
"Nine Feet Underground - Medley","Caravan","Progressive Rock",0.369,0.504,0.636363636363636,0.754916666666667,0,0.0473,0.0191,0.709,0.688,0.444,0.126426,1,0
"Pantagruel's Nativity","Gentle Giant","Progressive Rock",0.32,0.355,0.363636363636364,0.719133333333333,0,0.0366,0.205,0.388,0.118,0.218,0.139522,1,0
"Minstrel in the Gallery - Steven Wilson Stereo Remix","Jethro Tull","Progressive Rock",0.368,0.507,1,0.797683333333333,0,0.0722,0.0519,2.05e-06,0.0751,0.618,0.095933,0,0.35
"Hold Your Head Up","Argent","Progressive Rock",0.502,0.488,0.636363636363636,0.795583333333333,1,0.0261,0.3,0.128,0.319,0.74,0.089279,1,0.48
"Hocus Pocus - Extended Version","Focus","Progressive Rock",0.267,0.722,0.181818181818182,0.8776,1,0.102,0.00596,0.893,0.35,0.347,0.184093,1,0.51
"Supper's Ready - Digital Remastered 2008","Genesis","Progressive Rock",0.31,0.61,0.363636363636364,0.843083333333333,0,0.0723,0.147,0.000476,0.179,0.144,0.088132,1,0.42
"The Yes No Interlude","Hatfield & The North","Progressive Rock",0.333,0.48,0.636363636363636,0.751066666666667,1,0.0368,0.0107,0.451,0.276,0.341,0.145921,1,0.25
